EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,POTENTIAL_HURT_LVL3,POTENTIAL_HURT_LVL4,POTENTIAL_HURT_LVL5,POTENTIAL_HURT_TOTAL,ACTUAL_HURT_A3,ACTUAL_HURT_A4,ACTUAL_HURT_TOTAL,SPILLS
Upstream,Upstream LNG,ALL,2022,0.098241,0.036840,8,3,0.012280,0.000000,0.014406,1,1,8,2,11,0,0,0,1
Upstream,Upstream Deepwater,Eastern Canada,2020,0.091082,0.000000,2,0,0.000000,0.000000,0.000000,0,0,2,0,2,0,0,0,0
Upstream,Upstream Conventional/HO,Norway / Azerbaijan / CNNS,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Nigeria,2023,0.107266,0.053633,3,1,0.053633,0.000000,0.117824,1,0,1,0,1,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - US North,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
ALL,ALL,ALL,2021,0.155433,0.014081,287,26,0.023830,0.023691,0.023927,44,115,131,15,261,0,1,1,210
ALL,ALL,ALL,2023,0.153045,0.013847,218,19,0.022592,0.011290,0.029736,32,72,92,0,164,2,1,3,128
Upstream,Upstream Unconventional,Delaware,2019,0.496100,0.028081,53,3,0.056162,1.032421,0.038133,6,6,5,1,12,0,0,0,74
Upstream,Upstream LNG,Qatar,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AP Fuels,AP Fuels - AP,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Kazakhstan,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Brazil,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,PNG,2022,0.100883,0.037831,8,3,0.012610,0.000000,0.014649,1,1,8,2,11,0,0,0,1
Upstream,Upstream Deepwater,Angola,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,3,1,1,5,0,0,0,0
Upstream,Upstream Deepwater,Guyana,2022,0.140818,0.015646,9,1,0.015646,0.000000,0.016453,1,0,3,0,3,0,0,0,1
EMPS Other,ALL,ALL,2023,0.147257,0.011687,67,5,0.021037,0.004684,0.037323,9,46,44,0,90,1,0,1,17
EMPS Energy Products,AM Fuels,AM Fuels - Canada,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,US Conventional,2020,0.415824,0.000000,6,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,7
EMPS Energy Products,Global,ALL,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Chad,2019,0.090862,0.060575,3,2,0.030287,0.000000,0.035510,1,4,2,0,6,0,0,0,1
EMPS Energy Products,Global,ALL,2023,0.077993,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Iraq,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
ALL,ALL,ALL,2022,0.153325,0.010186,284,19,0.022516,0.027839,0.019182,42,82,90,6,178,2,3,5,213
Upstream,Upstream Conventional/HO,Vietnam,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL NAP MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - Canada,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Indonesia,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
