EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,ACTUAL_HURT_A3,ACTUAL_HURT_A4,SPILLS
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2020,0.270097,0.135048,2,1,0.135048,0.211579,0.000000,1,0,0,0
Upstream,Deep Water,Equatorial Guinea,2020,0.074446,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,ALL,ALL,2023,0.224141,0.020948,110,10,0.041896,0.042968,0.041550,20,1,1,111
Upstream,UNC,Midland CBP,2021,0.256226,0.000000,7,0,0.036604,0.205417,0.000000,1,0,0,46
Upstream,LNG,AP other,2019,4.516916,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,Mozambique,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Guyana,2019,0.134421,0.000000,4,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Chem Products,Other Chem,2020,0.087194,0.005813,15,1,0.011626,0.010016,0.013852,2,0,0,4
Upstream,LNG,ALL,2022,0.098241,0.036840,8,3,0.012280,0.000000,0.014406,1,0,0,1
Product Solutions,Specialty Products,FL LA MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Germany,2023,0.466677,0.155559,4,1,0.155559,0.000000,0.272831,1,0,0,0
Upstream,Conventional / HO,Netherlands / SNS,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,EAME other,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AM Fuels - Canada,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Romania,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL LA MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,EAME Fuels - EAME Trading,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Abu Dhabi,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Vietnam,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL SAP MBU,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Out of scope,Out of scope,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Malaysia / Thailand,2023,0.041749,0.020874,2,1,0.020874,0.000000,0.027033,1,0,1,0
Upstream,Deep Water,Guyana,2021,0.095382,0.019076,5,1,0.019076,0.000000,0.020113,1,0,0,1
Product Solutions,Energy Products,EAME Fuels - EAME BNLG,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,EAME Fuels - FUNM,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Kazakhstan,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Imperial Oil / Canada West,2021,0.374792,0.035137,32,3,0.035137,0.023902,0.045932,3,0,0,3
Upstream,Conventional / HO,Abu Dhabi,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Indonesia,2019,0.029776,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Angola,2022,0.247252,0.022477,11,1,0.134864,0.504497,0.077836,6,0,0,0
Product Solutions,Energy Products,AM Fuels - US North,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Kazakhstan,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Out of scope,Out of scope,2021,0.160387,0.028138,57,10,0.033766,0.018252,0.047116,12,0,0,34
Upstream,ALL,ALL,2019,0.276579,0.023373,283,24,0.038955,0.041480,0.038278,40,2,1,290
Upstream,UNC,Eastern,2021,0.108964,0.000000,3,0,0.000000,0.000000,0.000000,0,0,0,20
Upstream,LNG,Qatar,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,ALL,2019,0.084583,0.005639,15,1,0.005639,0.029031,0.000000,1,0,0,0
Product Solutions,Energy Products,EAME Fuels - FUNM,2023,0.560276,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Eastern Canada,2023,0.402417,0.000000,4,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,EAME Fuels - EAME Trading,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Out of scope,Out of scope,Out of scope,2022,0.103057,0.001747,58,1,0.012227,0.007700,0.015986,7,0,0,2
Product Solutions,Out of scope,Out of scope,2019,0.193815,0.019168,91,9,0.027688,0.028153,0.027405,13,0,0,52
Product Solutions,ALL,ALL,2022,0.133571,0.009025,74,5,0.019855,0.027994,0.011184,11,1,1,33
Upstream,UNC,Central,2019,0.586830,0.108672,27,5,0.108672,0.071423,0.124966,5,1,1,81
Upstream,Conventional / HO,Europe Opt & Trading,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Imperial Oil / Canada West,2023,0.362281,0.000000,24,0,0.030190,0.031486,0.028996,2,0,0,1
Upstream,Conventional / HO,Norway / Azerbaijan / CNNS,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AM Fuels - US North,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AM Fuels - US North,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,AP other,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Out of scope,Out of scope,2020,0.170658,0.015753,65,6,0.026255,0.022903,0.029094,10,0,0,36
Product Solutions,ALL,ALL,2020,0.132415,0.011586,80,7,0.019862,0.015567,0.024738,12,0,0,41
Upstream,UNC,ALL,2022,0.458266,0.045075,60,6,0.075126,0.065680,0.077927,10,1,2,169
Upstream,UNC,Central,2022,0.716132,0.102305,14,2,0.051152,0.000000,0.077344,1,0,0,55
Upstream,UNC,Central,2023,1.086377,0.271594,12,3,0.362126,0.276003,0.404163,4,1,0,42
Upstream,Conventional / HO,Germany,2020,0.528223,0.000000,5,0,0.000000,0.000000,0.000000,0,0,0,2
Upstream,LNG,ALL,2020,0.058364,0.000000,4,0,0.000000,0.000000,0.000000,0,0,0,4
Upstream,Conventional / HO,Indonesia,2020,0.128255,0.000000,3,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Norway / Azerbaijan / CNNS,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,UNC,Midland CBP,2023,0.295705,0.000000,9,0,0.000000,0.000000,0.000000,0,0,0,19
Upstream,Deep Water,Equatorial Guinea,2022,0.143705,0.071853,2,1,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Imperial Oil / Canada West,2022,0.330199,0.000000,31,0,0.010652,0.023613,0.000000,1,0,0,3
Upstream,Conventional / HO,ALL,2022,0.164594,0.000000,56,0,0.014696,0.046751,0.003927,5,0,0,5
Upstream,Conventional / HO,Vietnam,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Europe Opt & Trading,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,UNC,Canada Unconventional,2020,0.491498,0.491498,1,1,0.491498,0.000000,0.491498,1,0,0,1
Upstream,LNG,Qatar,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,ALL,ALL,2022,0.206402,0.016512,149,12,0.031648,0.053551,0.025059,23,1,2,178
Upstream,LNG,PNG,2022,0.100883,0.037831,8,3,0.012610,0.000000,0.014649,1,0,0,1
Upstream,Conventional / HO,Imperial Oil / Canada West,2020,0.285240,0.021942,26,2,0.065825,0.067945,0.063833,6,1,0,3
Product Solutions,Energy Products,ALL,2023,0.077993,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL NAP MBU,2021,0.225847,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,Australia LNG,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Brazil,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,ALL,ALL,2019,0.156085,0.016723,112,12,0.025085,0.027778,0.022868,18,0,0,61
Upstream,UNC,ALL,2023,0.442853,0.045189,49,5,0.090378,0.094574,0.089387,10,1,0,105
Upstream,UNC,Delaware,2022,0.571473,0.030078,19,1,0.090233,0.282598,0.067320,3,1,0,59
Upstream,Deep Water,Eastern Canada,2020,0.091082,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,EAME Fuels - EAME BNLG,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Brazil,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL NAP MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2021,0.264547,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Equatorial Guinea,2021,0.150788,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Malaysia / Thailand,2022,0.065417,0.000000,5,0,0.000000,0.000000,0.000000,0,0,0,1
Upstream,UNC,Argentina,2021,0.768096,0.000000,4,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,ALL,2021,0.028475,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,Qatar,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Romania,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2022,0.248699,0.082900,3,1,0.082900,0.206114,0.000000,1,0,0,0
Upstream,Conventional / HO,Indonesia,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1
Upstream,Conventional / HO,Iraq,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Brazil,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Equatorial Guinea,2019,0.124750,0.041583,3,1,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Out of scope,Out of scope,2019,0.118451,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,US Conventional,2020,0.415824,0.000000,6,0,0.000000,0.000000,0.000000,0,0,0,7
Upstream,UNC,Midland CBP,2020,0.254734,0.000000,8,0,0.063683,0.000000,0.079198,2,0,0,49
Product Solutions,Energy Products,AM Fuels - US North,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
